Date (Year-Month),Location,Category,Reference_Index,Index(%)
1992-10,Canada,Total (house and land),"Index, 201612=100",56.3
1992-10,Canada,House only,"Index, 201612=100",51.7
1992-10,Canada,Land only,"Index, 201612=100",66.4
1992-10,Atlantic Region,Total (house and land),"Index, 201612=100",59.8
1992-10,Atlantic Region,House only,"Index, 201612=100",60.9
1992-10,Atlantic Region,Land only,"Index, 201612=100",55.5
1992-10,Newfoundland and Labrador,Total (house and land),"Index, 201612=100",49.8
1992-10,Newfoundland and Labrador,House only,"Index, 201612=100",51.2
1992-10,Newfoundland and Labrador,Land only,"Index, 201612=100",45.9
1992-10,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",49.8
1992-10,"St. John's, Newfoundland and Labrador",House only,"Index, 201612=100",51.2
1992-10,"St. John's, Newfoundland and Labrador",Land only,"Index, 201612=100",45.9
1992-10,Prince Edward Island,Total (house and land),"Index, 201612=100",
1992-10,Prince Edward Island,House only,"Index, 201612=100",
1992-10,Prince Edward Island,Land only,"Index, 201612=100",
1992-10,"Charlottetown, Prince Edward Island",Total (house and land),"Index, 201612=100",
1992-10,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
1992-10,"Charlottetown, Prince Edward Island",Land only,"Index, 201612=100",
1992-10,Nova Scotia,Total (house and land),"Index, 201612=100",56.6
1992-10,Nova Scotia,House only,"Index, 201612=100",54.9
1992-10,Nova Scotia,Land only,"Index, 201612=100",61.7
1992-10,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",56.6
1992-10,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.9
1992-10,"Halifax, Nova Scotia",Land only,"Index, 201612=100",61.7
1992-10,New Brunswick,Total (house and land),"Index, 201612=100",83.4
1992-10,New Brunswick,House only,"Index, 201612=100",85.1
1992-10,New Brunswick,Land only,"Index, 201612=100",78.6
1992-10,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),"Index, 201612=100",83.4
1992-10,"Saint John, Fredericton, and Moncton, New Brunswick",House only,"Index, 201612=100",85.1
1992-10,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,"Index, 201612=100",78.6
1992-10,Quebec,Total (house and land),"Index, 201612=100",54.0
1992-10,Quebec,House only,"Index, 201612=100",54.5
1992-10,Quebec,Land only,"Index, 201612=100",53.0
1992-10,"Québec, Quebec",Total (house and land),"Index, 201612=100",56.3
1992-10,"Québec, Quebec",House only,"Index, 201612=100",61.8
1992-10,"Québec, Quebec",Land only,"Index, 201612=100",45.3
1992-10,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
1992-10,"Sherbrooke, Quebec",House only,"Index, 201612=100",
1992-10,"Sherbrooke, Quebec",Land only,"Index, 201612=100",
1992-10,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
1992-10,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
1992-10,"Trois-Rivières, Quebec",Land only,"Index, 201612=100",
1992-10,"Montréal, Quebec",Total (house and land),"Index, 201612=100",53.5
1992-10,"Montréal, Quebec",House only,"Index, 201612=100",53.1
1992-10,"Montréal, Quebec",Land only,"Index, 201612=100",55.4
1992-10,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),"Index, 201612=100",
1992-10,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
1992-10,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Land only,"Index, 201612=100",
1992-10,Ontario,Total (house and land),"Index, 201612=100",54.1
1992-10,Ontario,House only,"Index, 201612=100",44.8
1992-10,Ontario,Land only,"Index, 201612=100",79.5
1992-10,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),"Index, 201612=100",55.6
1992-10,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",51.5
1992-10,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Land only,"Index, 201612=100",78.7
1992-10,"Oshawa, Ontario",Total (house and land),"Index, 201612=100",
1992-10,"Oshawa, Ontario",House only,"Index, 201612=100",
1992-10,"Oshawa, Ontario",Land only,"Index, 201612=100",
1992-10,"Toronto, Ontario",Total (house and land),"Index, 201612=100",51.2
1992-10,"Toronto, Ontario",House only,"Index, 201612=100",39.9
1992-10,"Toronto, Ontario",Land only,"Index, 201612=100",79.8
1992-10,"Hamilton, Ontario",Total (house and land),"Index, 201612=100",56.1
1992-10,"Hamilton, Ontario",House only,"Index, 201612=100",47.8
1992-10,"Hamilton, Ontario",Land only,"Index, 201612=100",77.3
1992-10,"St. Catharines-Niagara, Ontario",Total (house and land),"Index, 201612=100",56.2
1992-10,"St. Catharines-Niagara, Ontario",House only,"Index, 201612=100",51.1
1992-10,"St. Catharines-Niagara, Ontario",Land only,"Index, 201612=100",70.9
1992-10,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),"Index, 201612=100",61.1
1992-10,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",53.2
1992-10,"Kitchener-Cambridge-Waterloo, Ontario",Land only,"Index, 201612=100",85.1
1992-10,"Guelph, Ontario",Total (house and land),"Index, 201612=100",
1992-10,"Guelph, Ontario",House only,"Index, 201612=100",
1992-10,"Guelph, Ontario",Land only,"Index, 201612=100",
1992-10,"London, Ontario",Total (house and land),"Index, 201612=100",62.3
1992-10,"London, Ontario",House only,"Index, 201612=100",55.4
1992-10,"London, Ontario",Land only,"Index, 201612=100",92.8
1992-10,"Windsor, Ontario",Total (house and land),"Index, 201612=100",87.3
1992-10,"Windsor, Ontario",House only,"Index, 201612=100",89.5
1992-10,"Windsor, Ontario",Land only,"Index, 201612=100",82.3
1992-10,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",83.4
1992-10,"Greater Sudbury, Ontario",House only,"Index, 201612=100",83.8
1992-10,"Greater Sudbury, Ontario",Land only,"Index, 201612=100",80.5
1992-10,Prairie Region,Total (house and land),"Index, 201612=100",37.0
1992-10,Prairie Region,House only,"Index, 201612=100",37.1
1992-10,Prairie Region,Land only,"Index, 201612=100",37.6
1992-10,Manitoba,Total (house and land),"Index, 201612=100",38.9
1992-10,Manitoba,House only,"Index, 201612=100",41.2
1992-10,Manitoba,Land only,"Index, 201612=100",33.2
1992-10,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",38.9
1992-10,"Winnipeg, Manitoba",House only,"Index, 201612=100",41.2
1992-10,"Winnipeg, Manitoba",Land only,"Index, 201612=100",33.2
1992-10,Saskatchewan,Total (house and land),"Index, 201612=100",34.4
1992-10,Saskatchewan,House only,"Index, 201612=100",34.3
1992-10,Saskatchewan,Land only,"Index, 201612=100",34.8
1992-10,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",28.8
1992-10,"Regina, Saskatchewan",House only,"Index, 201612=100",28.3
1992-10,"Regina, Saskatchewan",Land only,"Index, 201612=100",30.8
1992-10,"Saskatoon, Saskatchewan",Total (house and land),"Index, 201612=100",39.7
1992-10,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.7
1992-10,"Saskatoon, Saskatchewan",Land only,"Index, 201612=100",37.5
1992-10,Alberta,Total (house and land),"Index, 201612=100",37.1
1992-10,Alberta,House only,"Index, 201612=100",37.0
1992-10,Alberta,Land only,"Index, 201612=100",38.2
1992-10,"Calgary, Alberta",Total (house and land),"Index, 201612=100",32.5
1992-10,"Calgary, Alberta",House only,"Index, 201612=100",32.0
1992-10,"Calgary, Alberta",Land only,"Index, 201612=100",34.4
1992-10,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",45.5
1992-10,"Edmonton, Alberta",House only,"Index, 201612=100",46.0
1992-10,"Edmonton, Alberta",Land only,"Index, 201612=100",45.3
1992-10,British Columbia,Total (house and land),"Index, 201612=100",92.6
1992-10,British Columbia,House only,"Index, 201612=100",100.9
1992-10,British Columbia,Land only,"Index, 201612=100",83.7
1992-10,"Kelowna, British Columbia",Total (house and land),"Index, 201612=100",
1992-10,"Kelowna, British Columbia",House only,"Index, 201612=100",
1992-10,"Kelowna, British Columbia",Land only,"Index, 201612=100",
1992-10,"Vancouver, British Columbia",Total (house and land),"Index, 201612=100",90.3
1992-10,"Vancouver, British Columbia",House only,"Index, 201612=100",95.9
1992-10,"Vancouver, British Columbia",Land only,"Index, 201612=100",86.9
1992-10,"Victoria, British Columbia",Total (house and land),"Index, 201612=100",117.7
1992-10,"Victoria, British Columbia",House only,"Index, 201612=100",163.7
1992-10,"Victoria, British Columbia",Land only,"Index, 201612=100",65.5
1992-11,Canada,Total (house and land),"Index, 201612=100",56.3
1992-11,Canada,House only,"Index, 201612=100",52.0
1992-11,Canada,Land only,"Index, 201612=100",66.3
1992-11,Atlantic Region,Total (house and land),"Index, 201612=100",59.9
1992-11,Atlantic Region,House only,"Index, 201612=100",61.0
1992-11,Atlantic Region,Land only,"Index, 201612=100",55.5
1992-11,Newfoundland and Labrador,Total (house and land),"Index, 201612=100",49.8
1992-11,Newfoundland and Labrador,House only,"Index, 201612=100",51.2
1992-11,Newfoundland and Labrador,Land only,"Index, 201612=100",45.9
1992-11,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",49.8
1992-11,"St. John's, Newfoundland and Labrador",House only,"Index, 201612=100",51.2
1992-11,"St. John's, Newfoundland and Labrador",Land only,"Index, 201612=100",45.9
1992-11,Prince Edward Island,Total (house and land),"Index, 201612=100",
1992-11,Prince Edward Island,House only,"Index, 201612=100",
1992-11,Prince Edward Island,Land only,"Index, 201612=100",
1992-11,"Charlottetown, Prince Edward Island",Total (house and land),"Index, 201612=100",
1992-11,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
1992-11,"Charlottetown, Prince Edward Island",Land only,"Index, 201612=100",
1992-11,Nova Scotia,Total (house and land),"Index, 201612=100",56.6
1992-11,Nova Scotia,House only,"Index, 201612=100",54.9
1992-11,Nova Scotia,Land only,"Index, 201612=100",61.7
1992-11,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",56.6
1992-11,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.9
1992-11,"Halifax, Nova Scotia",Land only,"Index, 201612=100",61.7
1992-11,New Brunswick,Total (house and land),"Index, 201612=100",83.7
1992-11,New Brunswick,House only,"Index, 201612=100",85.5
1992-11,New Brunswick,Land only,"Index, 201612=100",78.6
1992-11,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),"Index, 201612=100",83.7
1992-11,"Saint John, Fredericton, and Moncton, New Brunswick",House only,"Index, 201612=100",85.5
1992-11,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,"Index, 201612=100",78.6
1992-11,Quebec,Total (house and land),"Index, 201612=100",53.9
1992-11,Quebec,House only,"Index, 201612=100",54.5
1992-11,Quebec,Land only,"Index, 201612=100",53.0
1992-11,"Québec, Quebec",Total (house and land),"Index, 201612=100",56.2
1992-11,"Québec, Quebec",House only,"Index, 201612=100",61.7
1992-11,"Québec, Quebec",Land only,"Index, 201612=100",45.5
1992-11,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
1992-11,"Sherbrooke, Quebec",House only,"Index, 201612=100",
1992-11,"Sherbrooke, Quebec",Land only,"Index, 201612=100",
1992-11,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
1992-11,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
1992-11,"Trois-Rivières, Quebec",Land only,"Index, 201612=100",
1992-11,"Montréal, Quebec",Total (house and land),"Index, 201612=100",53.5
1992-11,"Montréal, Quebec",House only,"Index, 201612=100",53.1
1992-11,"Montréal, Quebec",Land only,"Index, 201612=100",55.3
1992-11,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),"Index, 201612=100",
1992-11,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
1992-11,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Land only,"Index, 201612=100",
1992-11,Ontario,Total (house and land),"Index, 201612=100",54.0
1992-11,Ontario,House only,"Index, 201612=100",45.2
1992-11,Ontario,Land only,"Index, 201612=100",78.4
1992-11,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),"Index, 201612=100",55.5
1992-11,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",51.4
1992-11,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Land only,"Index, 201612=100",78.7
1992-11,"Oshawa, Ontario",Total (house and land),"Index, 201612=100",
1992-11,"Oshawa, Ontario",House only,"Index, 201612=100",
1992-11,"Oshawa, Ontario",Land only,"Index, 201612=100",
1992-11,"Toronto, Ontario",Total (house and land),"Index, 201612=100",51.1
1992-11,"Toronto, Ontario",House only,"Index, 201612=100",40.6
1992-11,"Toronto, Ontario",Land only,"Index, 201612=100",78.1
1992-11,"Hamilton, Ontario",Total (house and land),"Index, 201612=100",55.8
1992-11,"Hamilton, Ontario",House only,"Index, 201612=100",47.7
1992-11,"Hamilton, Ontario",Land only,"Index, 201612=100",76.8
1992-11,"St. Catharines-Niagara, Ontario",Total (house and land),"Index, 201612=100",56.2
1992-11,"St. Catharines-Niagara, Ontario",House only,"Index, 201612=100",51.2
1992-11,"St. Catharines-Niagara, Ontario",Land only,"Index, 201612=100",70.9
1992-11,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),"Index, 201612=100",61.3
1992-11,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",53.3
1992-11,"Kitchener-Cambridge-Waterloo, Ontario",Land only,"Index, 201612=100",85.1
1992-11,"Guelph, Ontario",Total (house and land),"Index, 201612=100",
1992-11,"Guelph, Ontario",House only,"Index, 201612=100",
1992-11,"Guelph, Ontario",Land only,"Index, 201612=100",
1992-11,"London, Ontario",Total (house and land),"Index, 201612=100",62.3
1992-11,"London, Ontario",House only,"Index, 201612=100",55.4
1992-11,"London, Ontario",Land only,"Index, 201612=100",92.7
1992-11,"Windsor, Ontario",Total (house and land),"Index, 201612=100",87.3
1992-11,"Windsor, Ontario",House only,"Index, 201612=100",89.5
1992-11,"Windsor, Ontario",Land only,"Index, 201612=100",82.3
1992-11,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",83.4
1992-11,"Greater Sudbury, Ontario",House only,"Index, 201612=100",83.8
1992-11,"Greater Sudbury, Ontario",Land only,"Index, 201612=100",80.5
1992-11,Prairie Region,Total (house and land),"Index, 201612=100",37.0
1992-11,Prairie Region,House only,"Index, 201612=100",37.0
1992-11,Prairie Region,Land only,"Index, 201612=100",37.7
1992-11,Manitoba,Total (house and land),"Index, 201612=100",38.9
1992-11,Manitoba,House only,"Index, 201612=100",41.2
1992-11,Manitoba,Land only,"Index, 201612=100",33.3
1992-11,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",38.9
1992-11,"Winnipeg, Manitoba",House only,"Index, 201612=100",41.2
1992-11,"Winnipeg, Manitoba",Land only,"Index, 201612=100",33.3
1992-11,Saskatchewan,Total (house and land),"Index, 201612=100",34.6
1992-11,Saskatchewan,House only,"Index, 201612=100",34.5
1992-11,Saskatchewan,Land only,"Index, 201612=100",34.8
1992-11,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",29.1
1992-11,"Regina, Saskatchewan",House only,"Index, 201612=100",28.6
1992-11,"Regina, Saskatchewan",Land only,"Index, 201612=100",30.9
1992-11,"Saskatoon, Saskatchewan",Total (house and land),"Index, 201612=100",39.7
1992-11,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",40.7
1992-11,"Saskatoon, Saskatchewan",Land only,"Index, 201612=100",37.5
1992-11,Alberta,Total (house and land),"Index, 201612=100",37.1
1992-11,Alberta,House only,"Index, 201612=100",36.9
1992-11,Alberta,Land only,"Index, 201612=100",38.3
1992-11,"Calgary, Alberta",Total (house and land),"Index, 201612=100",32.5
1992-11,"Calgary, Alberta",House only,"Index, 201612=100",32.0
1992-11,"Calgary, Alberta",Land only,"Index, 201612=100",34.5
1992-11,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",45.4
1992-11,"Edmonton, Alberta",House only,"Index, 201612=100",45.9
1992-11,"Edmonton, Alberta",Land only,"Index, 201612=100",45.2
1992-11,British Columbia,Total (house and land),"Index, 201612=100",93.3
1992-11,British Columbia,House only,"Index, 201612=100",101.1
1992-11,British Columbia,Land only,"Index, 201612=100",85.0
1992-11,"Kelowna, British Columbia",Total (house and land),"Index, 201612=100",
1992-11,"Kelowna, British Columbia",House only,"Index, 201612=100",
1992-11,"Kelowna, British Columbia",Land only,"Index, 201612=100",
1992-11,"Vancouver, British Columbia",Total (house and land),"Index, 201612=100",90.9
1992-11,"Vancouver, British Columbia",House only,"Index, 201612=100",96.2
1992-11,"Vancouver, British Columbia",Land only,"Index, 201612=100",88.1
1992-11,"Victoria, British Columbia",Total (house and land),"Index, 201612=100",118.3
1992-11,"Victoria, British Columbia",House only,"Index, 201612=100",162.7
1992-11,"Victoria, British Columbia",Land only,"Index, 201612=100",67.8
1992-12,Canada,Total (house and land),"Index, 201612=100",56.3
1992-12,Canada,House only,"Index, 201612=100",51.9
1992-12,Canada,Land only,"Index, 201612=100",66.4
1992-12,Atlantic Region,Total (house and land),"Index, 201612=100",59.8
1992-12,Atlantic Region,House only,"Index, 201612=100",60.9
1992-12,Atlantic Region,Land only,"Index, 201612=100",55.5
1992-12,Newfoundland and Labrador,Total (house and land),"Index, 201612=100",49.8
1992-12,Newfoundland and Labrador,House only,"Index, 201612=100",51.2
1992-12,Newfoundland and Labrador,Land only,"Index, 201612=100",45.9
1992-12,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",49.8
1992-12,"St. John's, Newfoundland and Labrador",House only,"Index, 201612=100",51.2
1992-12,"St. John's, Newfoundland and Labrador",Land only,"Index, 201612=100",45.9
1992-12,Prince Edward Island,Total (house and land),"Index, 201612=100",
1992-12,Prince Edward Island,House only,"Index, 201612=100",
1992-12,Prince Edward Island,Land only,"Index, 201612=100",
1992-12,"Charlottetown, Prince Edward Island",Total (house and land),"Index, 201612=100",
1992-12,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
1992-12,"Charlottetown, Prince Edward Island",Land only,"Index, 201612=100",
1992-12,Nova Scotia,Total (house and land),"Index, 201612=100",56.6
1992-12,Nova Scotia,House only,"Index, 201612=100",54.9
1992-12,Nova Scotia,Land only,"Index, 201612=100",61.7
1992-12,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",56.6
1992-12,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.9
1992-12,"Halifax, Nova Scotia",Land only,"Index, 201612=100",61.7
1992-12,New Brunswick,Total (house and land),"Index, 201612=100",83.3
1992-12,New Brunswick,House only,"Index, 201612=100",85.1
1992-12,New Brunswick,Land only,"Index, 201612=100",78.4
1992-12,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),"Index, 201612=100",83.3
1992-12,"Saint John, Fredericton, and Moncton, New Brunswick",House only,"Index, 201612=100",85.1
1992-12,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,"Index, 201612=100",78.4
1992-12,Quebec,Total (house and land),"Index, 201612=100",53.9
1992-12,Quebec,House only,"Index, 201612=100",54.4
1992-12,Quebec,Land only,"Index, 201612=100",53.0
1992-12,"Québec, Quebec",Total (house and land),"Index, 201612=100",56.1
1992-12,"Québec, Quebec",House only,"Index, 201612=100",61.5
1992-12,"Québec, Quebec",Land only,"Index, 201612=100",45.5
1992-12,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
1992-12,"Sherbrooke, Quebec",House only,"Index, 201612=100",
1992-12,"Sherbrooke, Quebec",Land only,"Index, 201612=100",
1992-12,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
1992-12,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
1992-12,"Trois-Rivières, Quebec",Land only,"Index, 201612=100",
1992-12,"Montréal, Quebec",Total (house and land),"Index, 201612=100",53.5
1992-12,"Montréal, Quebec",House only,"Index, 201612=100",53.1
1992-12,"Montréal, Quebec",Land only,"Index, 201612=100",55.3
1992-12,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),"Index, 201612=100",
1992-12,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
1992-12,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Land only,"Index, 201612=100",
1992-12,Ontario,Total (house and land),"Index, 201612=100",54.0
1992-12,Ontario,House only,"Index, 201612=100",45.1
1992-12,Ontario,Land only,"Index, 201612=100",78.4
1992-12,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),"Index, 201612=100",55.5
1992-12,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",51.4
1992-12,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Land only,"Index, 201612=100",78.7
1992-12,"Oshawa, Ontario",Total (house and land),"Index, 201612=100",
1992-12,"Oshawa, Ontario",House only,"Index, 201612=100",
1992-12,"Oshawa, Ontario",Land only,"Index, 201612=100",
1992-12,"Toronto, Ontario",Total (house and land),"Index, 201612=100",51.0
1992-12,"Toronto, Ontario",House only,"Index, 201612=100",40.5
1992-12,"Toronto, Ontario",Land only,"Index, 201612=100",78.1
1992-12,"Hamilton, Ontario",Total (house and land),"Index, 201612=100",56.0
1992-12,"Hamilton, Ontario",House only,"Index, 201612=100",47.9
1992-12,"Hamilton, Ontario",Land only,"Index, 201612=100",76.8
1992-12,"St. Catharines-Niagara, Ontario",Total (house and land),"Index, 201612=100",56.3
1992-12,"St. Catharines-Niagara, Ontario",House only,"Index, 201612=100",51.3
1992-12,"St. Catharines-Niagara, Ontario",Land only,"Index, 201612=100",70.9
1992-12,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),"Index, 201612=100",61.3
1992-12,"Kitchener-Cambridge-Waterloo, Ontario",House only,"Index, 201612=100",53.4
1992-12,"Kitchener-Cambridge-Waterloo, Ontario",Land only,"Index, 201612=100",85.1
1992-12,"Guelph, Ontario",Total (house and land),"Index, 201612=100",
1992-12,"Guelph, Ontario",House only,"Index, 201612=100",
1992-12,"Guelph, Ontario",Land only,"Index, 201612=100",
1992-12,"London, Ontario",Total (house and land),"Index, 201612=100",62.1
1992-12,"London, Ontario",House only,"Index, 201612=100",55.3
1992-12,"London, Ontario",Land only,"Index, 201612=100",92.7
1992-12,"Windsor, Ontario",Total (house and land),"Index, 201612=100",86.3
1992-12,"Windsor, Ontario",House only,"Index, 201612=100",88.2
1992-12,"Windsor, Ontario",Land only,"Index, 201612=100",82.3
1992-12,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",83.4
1992-12,"Greater Sudbury, Ontario",House only,"Index, 201612=100",83.6
1992-12,"Greater Sudbury, Ontario",Land only,"Index, 201612=100",80.5
1992-12,Prairie Region,Total (house and land),"Index, 201612=100",37.1
1992-12,Prairie Region,House only,"Index, 201612=100",37.1
1992-12,Prairie Region,Land only,"Index, 201612=100",37.7
1992-12,Manitoba,Total (house and land),"Index, 201612=100",38.9
1992-12,Manitoba,House only,"Index, 201612=100",41.2
1992-12,Manitoba,Land only,"Index, 201612=100",33.3
1992-12,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",38.9
1992-12,"Winnipeg, Manitoba",House only,"Index, 201612=100",41.2
1992-12,"Winnipeg, Manitoba",Land only,"Index, 201612=100",33.3
1992-12,Saskatchewan,Total (house and land),"Index, 201612=100",34.7
1992-12,Saskatchewan,House only,"Index, 201612=100",34.7
1992-12,Saskatchewan,Land only,"Index, 201612=100",34.9
1992-12,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",29.1
1992-12,"Regina, Saskatchewan",House only,"Index, 201612=100",28.6
1992-12,"Regina, Saskatchewan",Land only,"Index, 201612=100",30.9
1992-12,"Saskatoon, Saskatchewan",Total (house and land),"Index, 201612=100",40.0
1992-12,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",41.1
1992-12,"Saskatoon, Saskatchewan",Land only,"Index, 201612=100",37.5
1992-12,Alberta,Total (house and land),"Index, 201612=100",37.2
1992-12,Alberta,House only,"Index, 201612=100",37.0
1992-12,Alberta,Land only,"Index, 201612=100",38.3
1992-12,"Calgary, Alberta",Total (house and land),"Index, 201612=100",32.7
1992-12,"Calgary, Alberta",House only,"Index, 201612=100",32.2
1992-12,"Calgary, Alberta",Land only,"Index, 201612=100",34.6
1992-12,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",45.4
1992-12,"Edmonton, Alberta",House only,"Index, 201612=100",45.9
1992-12,"Edmonton, Alberta",Land only,"Index, 201612=100",45.2
1992-12,British Columbia,Total (house and land),"Index, 201612=100",93.0
1992-12,British Columbia,House only,"Index, 201612=100",100.2
1992-12,British Columbia,Land only,"Index, 201612=100",85.4
1992-12,"Kelowna, British Columbia",Total (house and land),"Index, 201612=100",
1992-12,"Kelowna, British Columbia",House only,"Index, 201612=100",
1992-12,"Kelowna, British Columbia",Land only,"Index, 201612=100",
1992-12,"Vancouver, British Columbia",Total (house and land),"Index, 201612=100",90.5
1992-12,"Vancouver, British Columbia",House only,"Index, 201612=100",95.3
1992-12,"Vancouver, British Columbia",Land only,"Index, 201612=100",88.5
1992-12,"Victoria, British Columbia",Total (house and land),"Index, 201612=100",118.1
1992-12,"Victoria, British Columbia",House only,"Index, 201612=100",161.9
1992-12,"Victoria, British Columbia",Land only,"Index, 201612=100",67.8
1993-01,Canada,Total (house and land),"Index, 201612=100",56.2
1993-01,Canada,House only,"Index, 201612=100",51.8
1993-01,Canada,Land only,"Index, 201612=100",66.4
1993-01,Atlantic Region,Total (house and land),"Index, 201612=100",59.8
1993-01,Atlantic Region,House only,"Index, 201612=100",60.9
1993-01,Atlantic Region,Land only,"Index, 201612=100",55.5
1993-01,Newfoundland and Labrador,Total (house and land),"Index, 201612=100",49.8
1993-01,Newfoundland and Labrador,House only,"Index, 201612=100",51.2
1993-01,Newfoundland and Labrador,Land only,"Index, 201612=100",45.9
1993-01,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",49.8
1993-01,"St. John's, Newfoundland and Labrador",House only,"Index, 201612=100",51.2
1993-01,"St. John's, Newfoundland and Labrador",Land only,"Index, 201612=100",45.9
1993-01,Prince Edward Island,Total (house and land),"Index, 201612=100",
1993-01,Prince Edward Island,House only,"Index, 201612=100",
1993-01,Prince Edward Island,Land only,"Index, 201612=100",
1993-01,"Charlottetown, Prince Edward Island",Total (house and land),"Index, 201612=100",
1993-01,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
1993-01,"Charlottetown, Prince Edward Island",Land only,"Index, 201612=100",
1993-01,Nova Scotia,Total (house and land),"Index, 201612=100",56.6
1993-01,Nova Scotia,House only,"Index, 201612=100",54.9
1993-01,Nova Scotia,Land only,"Index, 201612=100",61.7
1993-01,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",56.6
1993-01,"Halifax, Nova Scotia",House only,"Index, 201612=100",54.9
1993-01,"Halifax, Nova Scotia",Land only,"Index, 201612=100",61.7
1993-01,New Brunswick,Total (house and land),"Index, 201612=100",83.1
1993-01,New Brunswick,House only,"Index, 201612=100",84.8
1993-01,New Brunswick,Land only,"Index, 201612=100",78.4
1993-01,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),"Index, 201612=100",83.1
1993-01,"Saint John, Fredericton, and Moncton, New Brunswick",House only,"Index, 201612=100",84.8
1993-01,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,"Index, 201612=100",78.4
1993-01,Quebec,Total (house and land),"Index, 201612=100",53.9
1993-01,Quebec,House only,"Index, 201612=100",54.3
1993-01,Quebec,Land only,"Index, 201612=100",52.9
1993-01,"Québec, Quebec",Total (house and land),"Index, 201612=100",56.0
