Date (Year-Month),Location,Category,Reference_Index,Index(%)
1981-01,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",54.7
1981-01,"Greater Sudbury, Ontario",House only,"Index, 201612=100",54.6
1981-01,"Greater Sudbury, Ontario",Land only,"Index, 201612=100",51.4
1981-01,Prairie Region,Total (house and land),"Index, 201612=100",
1981-01,Prairie Region,House only,"Index, 201612=100",
1981-01,Prairie Region,Land only,"Index, 201612=100",
1981-01,Manitoba,Total (house and land),"Index, 201612=100",
1981-01,Manitoba,House only,"Index, 201612=100",
1981-01,Manitoba,Land only,"Index, 201612=100",
1981-01,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",26.6
1981-01,"Winnipeg, Manitoba",House only,"Index, 201612=100",29.3
1981-01,"Winnipeg, Manitoba",Land only,"Index, 201612=100",18.7
1981-01,Saskatchewan,Total (house and land),"Index, 201612=100",
1981-01,Saskatchewan,House only,"Index, 201612=100",
1981-01,Saskatchewan,Land only,"Index, 201612=100",
1981-01,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",19.8
1981-01,"Regina, Saskatchewan",House only,"Index, 201612=100",20.7
1981-01,"Regina, Saskatchewan",Land only,"Index, 201612=100",16.7
1981-01,"Saskatoon, Saskatchewan",Total (house and land),"Index, 201612=100",33.0
1981-01,"Saskatoon, Saskatchewan",House only,"Index, 201612=100",35.8
1981-01,"Saskatoon, Saskatchewan",Land only,"Index, 201612=100",26.0
1981-01,Alberta,Total (house and land),"Index, 201612=100",
1981-01,Alberta,House only,"Index, 201612=100",
1981-01,Alberta,Land only,"Index, 201612=100",
1981-01,"Calgary, Alberta",Total (house and land),"Index, 201612=100",25.3
1981-01,"Calgary, Alberta",House only,"Index, 201612=100",27.8
1981-01,"Calgary, Alberta",Land only,"Index, 201612=100",19.4
1981-01,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",35.8
1981-01,"Edmonton, Alberta",House only,"Index, 201612=100",36.5
1981-01,"Edmonton, Alberta",Land only,"Index, 201612=100",32.7
1981-01,British Columbia,Total (house and land),"Index, 201612=100",
1981-01,British Columbia,House only,"Index, 201612=100",
1981-01,British Columbia,Land only,"Index, 201612=100",
1981-01,"Kelowna, British Columbia",Total (house and land),"Index, 201612=100",
1981-01,"Kelowna, British Columbia",House only,"Index, 201612=100",
1981-01,"Kelowna, British Columbia",Land only,"Index, 201612=100",
1981-01,"Vancouver, British Columbia",Total (house and land),"Index, 201612=100",90.5
1981-01,"Vancouver, British Columbia",House only,"Index, 201612=100",96.1
1981-01,"Vancouver, British Columbia",Land only,"Index, 201612=100",83.5
1981-01,"Victoria, British Columbia",Total (house and land),"Index, 201612=100",128.7
1981-01,"Victoria, British Columbia",House only,"Index, 201612=100",206.8
1981-01,"Victoria, British Columbia",Land only,"Index, 201612=100",50.5
1981-02,Canada,Total (house and land),"Index, 201612=100",38.7
1981-02,Canada,House only,"Index, 201612=100",36.5
1981-02,Canada,Land only,"Index, 201612=100",41.0
1981-02,Atlantic Region,Total (house and land),"Index, 201612=100",
1981-02,Atlantic Region,House only,"Index, 201612=100",
1981-02,Atlantic Region,Land only,"Index, 201612=100",
1981-02,Newfoundland and Labrador,Total (house and land),"Index, 201612=100",
1981-02,Newfoundland and Labrador,House only,"Index, 201612=100",
1981-02,Newfoundland and Labrador,Land only,"Index, 201612=100",
1981-02,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",36.2
1981-02,"St. John's, Newfoundland and Labrador",House only,"Index, 201612=100",37.5
1981-02,"St. John's, Newfoundland and Labrador",Land only,"Index, 201612=100",31.8
1981-02,Prince Edward Island,Total (house and land),"Index, 201612=100",
1981-02,Prince Edward Island,House only,"Index, 201612=100",
1981-02,Prince Edward Island,Land only,"Index, 201612=100",
1981-02,"Charlottetown, Prince Edward Island",Total (house and land),"Index, 201612=100",
1981-02,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",
1981-02,"Charlottetown, Prince Edward Island",Land only,"Index, 201612=100",
1981-02,Nova Scotia,Total (house and land),"Index, 201612=100",
1981-02,Nova Scotia,House only,"Index, 201612=100",
1981-02,Nova Scotia,Land only,"Index, 201612=100",
1981-02,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",
1981-02,"Halifax, Nova Scotia",House only,"Index, 201612=100",
1981-02,"Halifax, Nova Scotia",Land only,"Index, 201612=100",
1981-02,New Brunswick,Total (house and land),"Index, 201612=100",
1981-02,New Brunswick,House only,"Index, 201612=100",
1981-02,New Brunswick,Land only,"Index, 201612=100",
1981-02,"Saint John, Fredericton, and Moncton, New Brunswick",Total (house and land),"Index, 201612=100",56.2
1981-02,"Saint John, Fredericton, and Moncton, New Brunswick",House only,"Index, 201612=100",62.1
1981-02,"Saint John, Fredericton, and Moncton, New Brunswick",Land only,"Index, 201612=100",38.0
1981-02,Quebec,Total (house and land),"Index, 201612=100",
1981-02,Quebec,House only,"Index, 201612=100",
1981-02,Quebec,Land only,"Index, 201612=100",
1981-02,"Québec, Quebec",Total (house and land),"Index, 201612=100",30.6
1981-02,"Québec, Quebec",House only,"Index, 201612=100",35.4
1981-02,"Québec, Quebec",Land only,"Index, 201612=100",20.3
1981-02,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
1981-02,"Sherbrooke, Quebec",House only,"Index, 201612=100",
1981-02,"Sherbrooke, Quebec",Land only,"Index, 201612=100",
1981-02,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
1981-02,"Trois-Rivières, Quebec",House only,"Index, 201612=100",
1981-02,"Trois-Rivières, Quebec",Land only,"Index, 201612=100",
1981-02,"Montréal, Quebec",Total (house and land),"Index, 201612=100",28.8
1981-02,"Montréal, Quebec",House only,"Index, 201612=100",30.2
1981-02,"Montréal, Quebec",Land only,"Index, 201612=100",20.7
1981-02,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Total (house and land),"Index, 201612=100",
1981-02,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",House only,"Index, 201612=100",
1981-02,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",Land only,"Index, 201612=100",
1981-02,Ontario,Total (house and land),"Index, 201612=100",
1981-02,Ontario,House only,"Index, 201612=100",
1981-02,Ontario,Land only,"Index, 201612=100",
1981-02,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Total (house and land),"Index, 201612=100",32.6
1981-02,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",House only,"Index, 201612=100",30.8
