Date (Year),Location,Property category,Average(C$)
2007,"Saguenay, Quebec",Residential,6593.9
2007,"Sherbrooke, Quebec",Residential,11007.6
2007,"Trois-Rivières, Quebec",Residential,5977.8
2007,"Barrie, Ontario",Residential,16800.6
2007,"Brantford, Ontario",Residential,9170.7
2007,"Greater Sudbury, Ontario",Residential,9405.2
2007,"Guelph, Ontario",Residential,11689.8
2007,"Hamilton, Ontario",Residential,62705.6
2007,"Kingston, Ontario",Residential,12822.3
2007,"Kitchener-Cambridge-Waterloo, Ontario",Residential,36740.5
2007,"London, Ontario",Residential,33499.0
2007,"Oshawa, Ontario",Residential,28297.4
2007,"Ottawa-Gatineau, Ontario/Quebec",Residential,101682.8
2007,Ottawa part,Residential,82037.4
2007,Gatineau part,Residential,19645.3
2007,"Peterborough, Ontario",Residential,10004.3
2007,"St. Catharines-Niagara, Ontario",Residential,30512.4
2007,"Thunder Bay, Ontario",Residential,6105.6
2007,"Toronto, Ontario",Residential,621337.0
2007,"Windsor, Ontario",Residential,20046.1
2007,"Winnipeg, Manitoba",Residential,42762.2
2007,"Regina, Saskatchewan",Residential,13167.6
2007,"Saskatoon, Saskatchewan",Residential,19951.6
2007,"Calgary, Alberta",Residential,192228.2
2007,"Edmonton, Alberta",Residential,155866.8
2007,"Kelowna, British Columbia",Residential,24041.7
2007,"Abbotsford-Mission, British Columbia",Residential,17515.4
2007,"Vancouver, British Columbia",Residential,401621.6
2007,"Victoria, British Columbia",Residential,59847.6
2008,Canada,Residential,3250681.9
2008,Newfoundland and Labrador,Residential,26206.7
2008,Prince Edward Island,Residential,5408.6
2008,Nova Scotia,Residential,57210.9
2008,New Brunswick,Residential,28788.5
2008,Quebec,Residential,529118.8
2008,Ontario,Residential,1270456.7
2008,Manitoba,Residential,69896.2
2008,Saskatchewan,Residential,70669.8
2008,Alberta,Residential,481296.1
2008,British Columbia,Residential,706710.1
2008,Yukon,Residential,1659.4
2008,Northwest Territories,Residential,2493.0
2008,Nunavut,Residential,767.1
2008,Total census metropolitan areas,Residential,2426405.6
2008,"St. John's, Newfoundland and Labrador",Residential,12376.9
2008,"Halifax, Nova Scotia",Residential,29742.5
2008,"Saint John, New Brunswick",Residential,5625.8
2008,"Moncton, New Brunswick",Residential,6155.7
2008,"Montréal, Quebec",Residential,297657.2
2008,"Québec, Quebec",Residential,48284.1
2008,"Saguenay, Quebec",Residential,7170.9
2008,"Sherbrooke, Quebec",Residential,11798.1
2008,"Trois-Rivières, Quebec",Residential,6687.3
2008,"Barrie, Ontario",Residential,17509.2
2008,"Brantford, Ontario",Residential,9474.9
2008,"Greater Sudbury, Ontario",Residential,11044.0
2008,"Guelph, Ontario",Residential,12117.8
2008,"Hamilton, Ontario",Residential,66581.4
2008,"Kingston, Ontario",Residential,13218.6
2008,"Kitchener-Cambridge-Waterloo, Ontario",Residential,39938.4
2008,"London, Ontario",Residential,35721.3
2008,"Oshawa, Ontario",Residential,29714.5
2008,"Ottawa-Gatineau, Ontario/Quebec",Residential,110899.2
2008,Ottawa part,Residential,89639.0
2008,Gatineau part,Residential,21260.2
2008,"Peterborough, Ontario",Residential,10310.0
2008,"St. Catharines-Niagara, Ontario",Residential,31427.2
2008,"Thunder Bay, Ontario",Residential,6597.1
2008,"Toronto, Ontario",Residential,639716.6
2008,"Windsor, Ontario",Residential,19695.3
2008,"Winnipeg, Manitoba",Residential,49192.5
2008,"Regina, Saskatchewan",Residential,18682.6
2008,"Saskatoon, Saskatchewan",Residential,25503.8
2008,"Calgary, Alberta",Residential,191705.4
2008,"Edmonton, Alberta",Residential,150328.8
2008,"Kelowna, British Columbia",Residential,24737.9
2008,"Abbotsford-Mission, British Columbia",Residential,17833.0
2008,"Vancouver, British Columbia",Residential,408189.4
2008,"Victoria, British Columbia",Residential,60768.2
2009,Canada,Residential,3333268.2
2009,Newfoundland and Labrador,Residential,31080.9
2009,Prince Edward Island,Residential,5842.4
2009,Nova Scotia,Residential,60710.2
2009,New Brunswick,Residential,31012.4
2009,Quebec,Residential,561497.8
2009,Ontario,Residential,1331141.8
2009,Manitoba,Residential,72347.9
2009,Saskatchewan,Residential,77078.1
2009,Alberta,Residential,443476.8
2009,British Columbia,Residential,713745.3
2009,Yukon,Residential,1617.1
2009,Northwest Territories,Residential,2868.8
2009,Nunavut,Residential,848.7
2009,Total census metropolitan areas,Residential,2477868.3
2009,"St. John's, Newfoundland and Labrador",Residential,14807.9
2009,"Halifax, Nova Scotia",Residential,31125.4
2009,"Saint John, New Brunswick",Residential,6433.5
2009,"Moncton, New Brunswick",Residential,6646.9
2009,"Montréal, Quebec",Residential,313050.6
2009,"Québec, Quebec",Residential,53490.5
2009,"Saguenay, Quebec",Residential,7675.8
2009,"Sherbrooke, Quebec",Residential,12455.1
2009,"Trois-Rivières, Quebec",Residential,6949.4
2009,"Barrie, Ontario",Residential,18152.3
2009,"Brantford, Ontario",Residential,9862.9
2009,"Greater Sudbury, Ontario",Residential,10586.7
2009,"Guelph, Ontario",Residential,12629.9
2009,"Hamilton, Ontario",Residential,69422.7
2009,"Kingston, Ontario",Residential,13875.2
2009,"Kitchener-Cambridge-Waterloo, Ontario",Residential,40288.3
2009,"London, Ontario",Residential,36537.9
2009,"Oshawa, Ontario",Residential,30614.9
2009,"Ottawa-Gatineau, Ontario/Quebec",Residential,118807.9
2009,Ottawa part,Residential,95861.8
2009,Gatineau part,Residential,22946.1
2009,"Peterborough, Ontario",Residential,10739.2
2009,"St. Catharines-Niagara, Ontario",Residential,32086.8
2009,"Thunder Bay, Ontario",Residential,6905.5
2009,"Toronto, Ontario",Residential,677060.3
2009,"Windsor, Ontario",Residential,19010.4
2009,"Winnipeg, Manitoba",Residential,51586.1
2009,"Regina, Saskatchewan",Residential,19080.7
2009,"Saskatoon, Saskatchewan",Residential,24940.2
2009,"Calgary, Alberta",Residential,171976.4
2009,"Edmonton, Alberta",Residential,136011.7
2009,"Kelowna, British Columbia",Residential,24720.6
2009,"Abbotsford-Mission, British Columbia",Residential,17543.5
2009,"Vancouver, British Columbia",Residential,409900.8
2009,"Victoria, British Columbia",Residential,62892.0
2010,Canada,Residential,3605446.0
2010,Newfoundland and Labrador,Residential,32865.3
2010,Prince Edward Island,Residential,6096.8
2010,Nova Scotia,Residential,63897.4
2010,New Brunswick,Residential,32920.1
2010,Quebec,Residential,612968.6
2010,Ontario,Residential,1431716.0
2010,Manitoba,Residential,80865.5
2010,Saskatchewan,Residential,82054.3
2010,Alberta,Residential,479092.7
2010,British Columbia,Residential,776890.9
2010,Yukon,Residential,1870.4
2010,Northwest Territories,Residential,3263.3
2010,Nunavut,Residential,944.7
2010,Total census metropolitan areas,Residential,2707515.9
2010,"St. John's, Newfoundland and Labrador",Residential,17529.4
2010,"Halifax, Nova Scotia",Residential,33720.2
2010,"Saint John, New Brunswick",Residential,6666.0
2010,"Moncton, New Brunswick",Residential,7062.5
2010,"Montréal, Quebec",Residential,342425.0
2010,"Québec, Quebec",Residential,60457.2
2010,"Saguenay, Quebec",Residential,8856.7
2010,"Sherbrooke, Quebec",Residential,13336.2
2010,"Trois-Rivières, Quebec",Residential,7645.7
2010,"Barrie, Ontario",Residential,18570.7
2010,"Brantford, Ontario",Residential,10145.9
2010,"Greater Sudbury, Ontario",Residential,12583.5
2010,"Guelph, Ontario",Residential,13995.7
2010,"Hamilton, Ontario",Residential,69710.1
2010,"Kingston, Ontario",Residential,15158.9
2010,"Kitchener-Cambridge-Waterloo, Ontario",Residential,44055.3
2010,"London, Ontario",Residential,39470.8
2010,"Oshawa, Ontario",Residential,31824.3
2010,"Ottawa-Gatineau, Ontario/Quebec",Residential,134660.5
2010,Ottawa part,Residential,110077.5
2010,Gatineau part,Residential,24583.1
2010,"Peterborough, Ontario",Residential,11016.7
2010,"St. Catharines-Niagara, Ontario",Residential,32675.1
2010,"Thunder Bay, Ontario",Residential,6844.0
2010,"Toronto, Ontario",Residential,733466.5
2010,"Windsor, Ontario",Residential,19388.8
2010,"Winnipeg, Manitoba",Residential,57773.6
2010,"Regina, Saskatchewan",Residential,20580.0
2010,"Saskatoon, Saskatchewan",Residential,27431.7
2010,"Calgary, Alberta",Residential,188939.3
2010,"Edmonton, Alberta",Residential,149501.2
2010,"Kelowna, British Columbia",Residential,25152.1
2010,"Abbotsford-Mission, British Columbia",Residential,18523.5
2010,"Vancouver, British Columbia",Residential,462084.7
2010,"Victoria, British Columbia",Residential,66263.8
2011,Canada,Residential,3839636.6
2011,Newfoundland and Labrador,Residential,36210.3
2011,Prince Edward Island,Residential,6208.4
2011,Nova Scotia,Residential,68103.9
2011,New Brunswick,Residential,34933.5
2011,Quebec,Residential,657868.2
2011,Ontario,Residential,1547692.8
2011,Manitoba,Residential,86433.3
2011,Saskatchewan,Residential,88696.1
2011,Alberta,Residential,482599.1
2011,British Columbia,Residential,824506.2
2011,Yukon,Residential,1920.4
2011,Northwest Territories,Residential,3363.5
2011,Nunavut,Residential,1101.1
2011,Total census metropolitan areas,Residential,2917246.8
2011,"St. John's, Newfoundland and Labrador",Residential,19370.3
2011,"Halifax, Nova Scotia",Residential,35627.5
2011,"Saint John, New Brunswick",Residential,7402.9
2011,"Moncton, New Brunswick",Residential,7667.7
2011,"Montréal, Quebec",Residential,367281.2
2011,"Québec, Quebec",Residential,66468.7
2011,"Saguenay, Quebec",Residential,10028.2
2011,"Sherbrooke, Quebec",Residential,15111.0
2011,"Trois-Rivières, Quebec",Residential,8171.2
2011,"Barrie, Ontario",Residential,19481.3
2011,"Brantford, Ontario",Residential,10671.8
2011,"Greater Sudbury, Ontario",Residential,13170.2
2011,"Guelph, Ontario",Residential,16138.0
2011,"Hamilton, Ontario",Residential,76011.3
2011,"Kingston, Ontario",Residential,16051.2
2011,"Kitchener-Cambridge-Waterloo, Ontario",Residential,47285.8
2011,"London, Ontario",Residential,40847.8
2011,"Oshawa, Ontario",Residential,34003.2
2011,"Ottawa-Gatineau, Ontario/Quebec",Residential,145037.5
2011,Ottawa part,Residential,118359.5
2011,Gatineau part,Residential,26678.0
2011,"Peterborough, Ontario",Residential,11556.1
2011,"St. Catharines-Niagara, Ontario",Residential,33874.0
2011,"Thunder Bay, Ontario",Residential,7888.7
2011,"Toronto, Ontario",Residential,807348.2
2011,"Windsor, Ontario",Residential,20318.7
2011,"Winnipeg, Manitoba",Residential,61896.4
2011,"Regina, Saskatchewan",Residential,22700.7
2011,"Saskatoon, Saskatchewan",Residential,28986.3
2011,"Calgary, Alberta",Residential,187702.8
2011,"Edmonton, Alberta",Residential,151600.3
2011,"Kelowna, British Columbia",Residential,30420.9
2011,"Abbotsford-Mission, British Columbia",Residential,18537.3
2011,"Vancouver, British Columbia",Residential,512530.8
2011,"Victoria, British Columbia",Residential,66058.6
2012,Canada,Residential,4058854.2
2012,Newfoundland and Labrador,Residential,39883.3
2012,Prince Edward Island,Residential,6321.6
2012,Nova Scotia,Residential,70517.9
2012,New Brunswick,Residential,37674.8
2012,Quebec,Residential,702641.9
2012,Ontario,Residential,1664403.2
2012,Manitoba,Residential,92882.5
2012,Saskatchewan,Residential,97691.5
2012,Alberta,Residential,505121.7
2012,British Columbia,Residential,835011.9
2012,Yukon,Residential,2067.6
2012,Northwest Territories,Residential,3492.9
2012,Nunavut,Residential,1143.5
2012,Total census metropolitan areas,Residential,3101762.7
2012,"St. John's, Newfoundland and Labrador",Residential,21387.2
2012,"Halifax, Nova Scotia",Residential,37504.3
2012,"Saint John, New Brunswick",Residential,7465.0
2012,"Moncton, New Brunswick",Residential,8207.8
2012,"Montréal, Quebec",Residential,391822.3
2012,"Québec, Quebec",Residential,71677.9
2012,"Saguenay, Quebec",Residential,10881.4
